sector,regime,total_trades,winning_trades,win_rate_pct,avg_pl_pct,total_pl
Health Care,BEAR_STRONG,14,8,57.14285714285714,4.21194715034733,2176.661192228832
Utilities,BEAR_STRONG,4,3,75.0,2.7245514770389674,270.64461573357903
Industrials,BEAR_STRONG,5,2,40.0,1.9780234135880879,106.26235853457956
Energy,BEAR_STRONG,14,7,50.0,1.8157513960868539,939.1443622302338
Real Estate,BEAR_STRONG,1,1,100.0,0.8445686966143617,11.872140558368756
Managed health care,BEAR_STRONG,2,1,50.0,0.6391863412108336,13.26617013228315
Materials,BEAR_STRONG,2,1,50.0,0.48760204404894547,13.668578766590826
Financials,BEAR_STRONG,2,0,0.0,-1.1577615141039175,-51.48043813762547
Consumer Staples,BEAR_STRONG,6,3,50.0,-1.495731675925569,-104.20142394231152
Information Technology,BEAR_STRONG,6,1,16.666666666666664,-5.871737123204355,-723.2638137916049
Technology,BEAR_STRONG,7,0,0.0,-7.186929226137387,-913.7504054187809
Energy,BEAR_WEAK,46,32,69.56521739130434,7.06451034544432,6586.167993560139
Information technology,BEAR_WEAK,1,1,100.0,6.086028797023875,206.50965551398758
Clothing industry,BEAR_WEAK,1,1,100.0,6.028813813113046,146.176532022042
Utilities,BEAR_WEAK,12,9,75.0,3.096622382566533,914.6134132052364
Consumer Staples,BEAR_WEAK,9,6,66.66666666666666,3.0910231891372115,870.0641917541138
Telecommunications,BEAR_WEAK,2,1,50.0,1.6848171014047115,89.36036296192333
Communication Services,BEAR_WEAK,21,13,61.904761904761905,1.5543294279312634,581.9852976826769
Health Care,BEAR_WEAK,28,18,64.28571428571429,1.4961815361735085,1090.346732529586
Consumer Discretionary,BEAR_WEAK,34,18,52.94117647058824,1.0865112963341221,608.1583732199167
Industrials,BEAR_WEAK,23,9,39.130434782608695,-0.9440105329159839,-1180.5661793010688
Information Technology,BEAR_WEAK,65,26,40.0,-0.9822975337586948,-1887.176610447083
Technology,BEAR_WEAK,73,31,42.465753424657535,-1.200630918103206,-2906.399128110628
Financials,BEAR_WEAK,16,7,43.75,-1.260700403814178,-1211.597123987664
Real Estate,BEAR_WEAK,5,2,40.0,-1.5463673031300145,-293.84466190100557
Aerospace and defense,BEAR_WEAK,1,0,0.0,-3.042570164982277,-70.51468326214172
Materials,BEAR_WEAK,9,3,33.33333333333333,-3.083693193826246,-962.5474146859251
Specialty chemicals,BEAR_WEAK,2,1,50.0,-3.321100084499525,-219.67060231183996
Energy,BULL_STRONG,2,2,100.0,31.720634849110397,2989.909625499041
Consumer Discretionary,BULL_STRONG,3,3,100.0,15.868553132612382,2594.206449495391
Financials,BULL_STRONG,1,1,100.0,12.30398658417933,597.4644131824434
Technology,BULL_STRONG,2,1,50.0,3.091690068651691,241.6705602947859
Industrials,BULL_STRONG,2,0,0.0,-4.585654794301169,-547.6038349713781
Consumer Staples,BULL_STRONG,1,0,0.0,-4.8351910563977265,-244.1631759221691
Real Estate,BULL_WEAK,2,1,50.0,20.889153832507155,2104.7755619682544
Energy,BULL_WEAK,13,11,84.61538461538461,18.05472878126144,10903.599295943059
Communication Services,BULL_WEAK,16,10,62.5,8.560163002700971,6769.31386116353
Financials,BULL_WEAK,11,7,63.63636363636363,7.197540695662898,3555.5634300453657
Materials,BULL_WEAK,6,3,50.0,5.128049019856614,1421.938596395099
Technology,BULL_WEAK,68,37,54.41176470588235,3.222992881342065,10704.797412981743
Industrials,BULL_WEAK,33,19,57.57575757575758,2.5675438071959924,4321.689046755726
Health Care,BULL_WEAK,14,7,50.0,2.5672530544377254,1595.9750580617947
Information Technology,BULL_WEAK,41,22,53.65853658536586,2.1315749876144046,4051.3258609359423
Information technology,BULL_WEAK,2,1,50.0,1.8374777939646632,165.65261774359533
Consumer Discretionary,BULL_WEAK,37,17,45.94594594594595,1.5040219380037771,2498.0975317604343
Utilities,BULL_WEAK,7,3,42.857142857142854,1.2272246360209669,462.63129082424985
Energy,CRISIS,3,0,0.0,-7.229226049610712,-327.6524386464996
Information Technology,CRISIS,1,0,0.0,-11.753221482606053,-178.92862235336997
Information technology,CRISIS,1,0,0.0,-11.753221482606053,-178.92862235336997
Technology,CRISIS,1,0,0.0,-11.753221482606053,-178.92862235336997
Health Care,CRISIS,2,0,0.0,-12.678503604502541,-379.20038099780663
Clothing industry,NEUTRAL_BEARISH,1,1,100.0,11.334532415273129,505.81007643825797
Energy,NEUTRAL_BEARISH,38,29,76.31578947368422,8.521679040901505,12658.853263186196
Telecommunications,NEUTRAL_BEARISH,1,1,100.0,6.201151217972643,214.29081719993155
Specialty chemicals,NEUTRAL_BEARISH,1,1,100.0,6.123272874759458,208.91938165011152
Aerospace and defense,NEUTRAL_BEARISH,2,2,100.0,5.7553866514048595,411.6890466235868
Consumer Staples,NEUTRAL_BEARISH,11,7,63.63636363636363,4.243796182880439,1391.1322328522692
Managed health care,NEUTRAL_BEARISH,2,2,100.0,4.238292187093744,318.8955848816154
Industrials,NEUTRAL_BEARISH,66,47,71.21212121212122,2.2044925611991104,4709.560691120242
Real Estate,NEUTRAL_BEARISH,3,1,33.33333333333333,1.5155677204472096,197.92952906013033
Information technology,NEUTRAL_BEARISH,8,5,62.5,1.468281657408957,403.05495601832354
Consumer Discretionary,NEUTRAL_BEARISH,56,34,60.71428571428571,1.4602650306725522,2747.3975217015163
Technology,NEUTRAL_BEARISH,138,80,57.971014492753625,1.1857947067259345,4802.916765371682
Utilities,NEUTRAL_BEARISH,25,14,56.00000000000001,1.1269545756617172,740.6761395377935
Information Technology,NEUTRAL_BEARISH,118,66,55.932203389830505,0.994142716929117,3556.3432859022946
Conglomerate,NEUTRAL_BEARISH,1,1,100.0,0.6620666715626712,29.307524862604623
Communication Services,NEUTRAL_BEARISH,25,15,60.0,0.640034030514177,605.8255733508868
Financials,NEUTRAL_BEARISH,24,12,50.0,0.35772567930128857,46.886222173463466
Health Care,NEUTRAL_BEARISH,47,22,46.808510638297875,-0.5542354620604383,-1221.2097267901447
Materials,NEUTRAL_BEARISH,12,6,50.0,-1.0242393051731427,-464.00488206305226
Energy,NEUTRAL_BULLISH,38,32,84.21052631578947,13.326993763204463,20984.592865573617
Materials,NEUTRAL_BULLISH,16,9,56.25,5.194556472264655,3624.467295252777
Clothing industry,NEUTRAL_BULLISH,3,2,66.66666666666666,4.553981398504644,501.21141520490346
Information technology,NEUTRAL_BULLISH,11,8,72.72727272727273,3.572435870038706,1737.4344906113329
Utilities,NEUTRAL_BULLISH,34,26,76.47058823529412,3.4087952320839623,5016.26946091089
Financials,NEUTRAL_BULLISH,70,36,51.42857142857142,2.758307579720598,8098.051372215666
Consumer Discretionary,NEUTRAL_BULLISH,102,53,51.9607843137255,1.8569692162491847,7918.389826383536
Information Technology,NEUTRAL_BULLISH,187,103,55.080213903743314,1.6656822803084137,12917.892178563428
Industrials,NEUTRAL_BULLISH,101,53,52.475247524752476,1.2014962667448081,5413.501414462892
Technology,NEUTRAL_BULLISH,224,109,48.660714285714285,0.9279697447067117,8525.568654106068
Health Care,NEUTRAL_BULLISH,50,21,42.0,-0.032781725242182064,-453.580503812746
Telecommunications,NEUTRAL_BULLISH,1,0,0.0,-1.6156107801265993,-67.28899422661289
Communication Services,NEUTRAL_BULLISH,35,10,28.57142857142857,-1.7049563340673448,-2711.2491850754973
Real Estate,NEUTRAL_BULLISH,6,2,33.33333333333333,-1.71477763664486,-350.4945479486141
Consumer Staples,NEUTRAL_BULLISH,5,1,20.0,-1.9844019317124313,-620.8073835967064
Aerospace and defense,NEUTRAL_BULLISH,1,0,0.0,-7.669180862311693,-388.8507669671053
